loan_id,amount,tenure,status,start_date,dpd,person_id,name,gender,address,pan,dob
LN87342,202016,12,active,2021-06-26,72,P000022,HNWOsenn,F,"""Gjrux City""",OEAEH5244J,02-11-1987
LN75260,82028,36,closed,2023-07-23,43,P000023,GfxWRiuL,F,"""FXPVc City""",UYIHA9783D,27-12-1974
LN58248,398915,6,default,2022-09-21,60,P000024,pHdBTvEX,F,"""oiDyH City""",DDPET7534D,09-05-1981
LN95924,345483,12,default,2023-05-19,32,P000025,xzUgFHFC,F,"""tImho City""",NAEIC8312N,14-04-1970
LN81500,263352,36,active,2022-12-06,46,P000026,DzJSAEdi,F,"""Zqudv City""",XNSFE1986K,04-03-1988
LN68036,155681,6,default,2022-07-24,83,P000027,gUQeZyyR,M,"""InGzF City""",CUKNI8263K,28-03-1995
LN56640,110728,12,closed,2023-08-24,89,P000028,ECtEoRJI,M,"""ihnDd City""",QWBHY9778L,02-04-1998
LN75998,447889,6,active,2022-02-11,50,P000029,raQIHKvC,M,"""jGIic City""",YWPSR1082Q,01-08-1991
LN16110,112235,12,default,2024-02-28,57,P000030,WwxqOmvd,M,"""rUlDe City""",JVVGC4273J,06-04-1976
LN56293,287507,36,active,2023-01-26,69,P000031,lsoYhivi,F,"""sWGNw City""",KETIQ8128T,04-03-2002
LN53648,359683,6,closed,2020-02-25,18,P000032,nJnOFidL,M,"""MFLEp City""",GWNEU6100Z,20-09-1991
LN19685,54806,24,default,2022-05-07,84,P000033,uevlRGuP,M,"""XvrUZ City""",VQIDB5768H,17-10-1996
LN56559,237273,36,default,2023-11-06,38,P000034,AaLdZrBT,M,"""ZkmPd City""",KKDYB7912O,25-04-1988
LN87074,407381,6,default,2021-02-07,16,P000035,htrnYSII,F,"""YMDgz City""",PCUXR9697F,22-06-1995
LN80527,29361,6,active,2023-01-02,26,P000036,VkJDtSLi,M,"""BIjSa City""",DZORK1359I,28-03-1977
LN32368,343315,24,closed,2024-03-18,63,P000037,jOEsnBVt,F,"""QclyJ City""",GFTXF8009T,15-03-1986
LN88699,27535,6,default,2022-01-22,85,P000038,ZCUbxYyq,M,"""JQecw City""",EYLUL2989U,11-01-1985
LN23439,458827,6,active,2020-08-14,23,P000039,EzwEVazK,M,"""jWSbe City""",NELJI1952C,05-02-1995
LN80841,398281,36,closed,2022-07-17,71,P000040,TvdPubLa,M,"""tUich City""",CPQVT5636B,08-08-2005
LN80798,475065,6,active,2022-02-23,63,P000041,wJWUZEvS,F,"""GBgZn City""",FATWD5813F,04-06-1975
LN15359,181865,24,active,2021-12-09,14,P000042,sVoNgCWD,M,"""sPEoz City""",LLLDJ8974O,26-03-1971
LN80904,475796,36,active,2023-03-05,34,P000043,xwzyJOMj,F,"""XcLgJ City""",LSMWH6461K,11-11-1994
LN45082,35838,6,active,2023-08-17,27,P000044,itEWKRqK,F,"""lFPAL City""",XOJJV7035R,10-09-1980
LN43510,40844,24,active,2024-06-21,40,P000045,vMzmabYR,F,"""zFgSr City""",UQJER9720R,20-12-2004
LN20240,61573,36,default,2022-04-19,77,P000046,hwFzriwN,F,"""Rrysl City""",NACQS2561H,12-01-1987
LN16505,294563,24,closed,2023-04-12,74,P000047,lWSSddAI,F,"""cMFFU City""",DSWDL2354H,08-12-1990
LN57995,364880,24,active,2020-10-13,20,P000048,mmTJrWFg,M,"""WwStB City""",DBTOG2614O,10-08-1978
LN90245,19957,6,active,2021-11-03,61,P000049,DqREfpMX,F,"""EuOLU City""",ILSHO3154N,08-03-2005
LN56617,87880,6,active,2024-11-24,46,P000050,KfCrZRLO,M,"""ZjYkU City""",ZLSKU5679P,20-07-1984
LN20906,298203,36,default,2020-07-02,86,P000051,JacYaiaL,F,"""QUWpR City""",UXEFM4102A,17-07-1972
LN40907,344000,6,default,2024-02-28,57,P000052,fwqfpeFB,M,"""KGOzL City""",ZHQJZ3484F,12-07-1978
LN48689,270235,36,default,2020-07-21,37,P000053,OEhSiJct,F,"""QALPO City""",JGWYQ9614M,12-03-1975
LN82870,337010,36,active,2024-08-22,80,P000054,XjXHlfvB,F,"""BYxGd City""",FBFNC3235L,02-02-1987
LN66825,265858,24,closed,2023-06-28,81,P000055,sBDmqEHu,F,"""YSlFv City""",HAXXC4383N,10-11-1998
LN95801,315778,12,default,2023-11-07,60,P000056,eLhxJGjM,M,"""FYAdF City""",AEORN1868X,01-06-1985
LN70736,118068,12,default,2020-11-10,65,P000057,qGygteUU,F,"""mRyYp City""",HNGGB8573V,08-09-1983
LN89377,52958,24,default,2022-10-12,39,P000058,jhuOaITI,F,"""ckyKx City""",TCOGC8323W,07-02-1986
LN77747,146297,36,closed,2024-08-07,84,P000059,GkuWRYbe,M,"""kLqbd City""",CQGKU8527E,21-03-1980
LN59601,274710,6,default,2024-07-04,36,P000060,Brsvmkbe,M,"""LQMoo City""",URQIE6086I,01-10-1994
LN39114,347828,6,closed,2021-09-11,5,P000061,tIlIPCgd,M,"""kZjrp City""",UNIFK1565Y,28-07-1976
LN95605,86590,24,closed,2024-01-17,34,P000062,WxcSEQYG,F,"""RryDM City""",SZBUK5597R,10-01-1980
LN68395,160945,12,closed,2023-02-14,42,P000063,YTJToMGZ,F,"""PISac City""",CWTYB1360N,27-01-1972
LN16856,474452,24,closed,2020-05-21,36,P000064,uZTZwJsO,F,"""XOhux City""",MBKDY6839V,23-12-1982
LN15964,315139,6,closed,2021-02-18,44,P000065,wWGhCYng,M,"""PmAsf City""",SLTHD9362G,06-02-2001
LN49350,85347,24,active,2024-06-05,45,P000066,YULweREt,F,"""qjARg City""",QAESM2297S,08-09-2000
LN44854,297777,6,default,2022-08-15,50,P000067,TbstjOBg,F,"""chmCN City""",USATM2441Y,02-10-1995
LN92022,330796,6,default,2022-02-22,42,P000068,AMnomNaM,M,"""BITSO City""",IUWWT6768K,18-03-1989
LN34362,133618,24,active,2024-05-11,5,P000069,aCephnAz,M,"""YqTeW City""",FIFBD8542M,12-07-2003
LN58421,211661,36,active,2020-08-03,46,P000070,jzYFPbJq,M,"""XxAeI City""",JAHHU8212D,24-10-1973
LN12771,100596,6,closed,2024-09-02,90,P000071,UhiySMWF,M,"""soEQs City""",NDJPK4344V,07-07-1985
LN81219,359458,24,closed,2022-02-11,46,P000072,NTHMXJtp,M,"""XoFlZ City""",VEFAN1188F,24-09-1977
LN58895,461242,12,default,2020-05-25,47,P000073,jXDdytDZ,M,"""tvJyh City""",SGYFA6101O,27-06-2003
LN59382,289139,6,active,2020-07-06,48,P000074,fLmzbrvJ,F,"""zTcGv City""",VFILZ2594Q,21-02-2002
LN58321,210539,6,closed,2022-11-09,35,P000075,jLMXfQOa,M,"""uFbEv City""",KBYBV9382Z,21-09-1982
LN57130,257554,6,closed,2021-09-05,17,P000076,DtPbsTFI,F,"""GWJek City""",IHLSG3001M,02-06-1971
LN88451,30105,6,default,2020-10-08,65,P000077,LrUHsXFP,M,"""piago City""",DYGEI3329B,27-04-1984
LN51571,17692,6,active,2023-07-27,41,P000078,vpnpATbB,F,"""czeEc City""",DUOEG3424M,24-01-1992
LN33074,69096,6,closed,2024-12-19,84,P000079,IzJSMMsk,F,"""VAngY City""",MOJGW5014W,20-10-1995
LN61608,66160,36,active,2024-08-14,55,P000080,ADeJjBkF,M,"""yYdzW City""",BSNWU5711X,11-03-1970
LN37255,67031,6,closed,2021-09-18,76,P000081,JQIcBjWG,M,"""XStiJ City""",VRRMU7762O,01-10-1976
LN79236,497998,12,closed,2024-05-25,36,P000082,zdKrqFqa,M,"""kdOoA City""",DXRUQ4806G,26-03-1981
LN12240,223882,24,default,2022-05-03,39,P000083,GnZHjcWb,M,"""uGGoO City""",VLTMP3417I,14-05-2005
LN28477,361910,6,default,2022-12-20,51,P000084,PFoiyyOx,F,"""Ykoyy City""",SSFLT9796U,09-10-1995
LN56717,303128,24,default,2021-07-27,27,P000085,QwsnPryC,M,"""IkBEK City""",NXHAY5472V,08-07-1981
LN45620,141937,6,active,2020-01-15,58,P000086,ofzilhPY,F,"""PUqUe City""",GDKEL2250U,19-09-1982
LN11373,342845,36,default,2023-06-03,10,P000087,wRQZtMna,M,"""IadSl City""",AMUKT1015U,20-12-2003
LN95985,98487,6,default,2023-05-25,45,P000088,NHldMoYS,F,"""JBQxg City""",EYFHY2410Q,12-12-1991
LN45613,462120,24,default,2024-05-27,36,P000089,dvAfwLDB,F,"""vrUpM City""",DMVQA1685G,27-11-1981
LN76745,294399,12,active,2023-01-02,54,P000090,ErFJkFNZ,F,"""cNZWd City""",DASET9467D,23-02-1996
LN41150,332752,6,closed,2020-10-12,89,P000091,vDVYhkYW,F,"""TJgUA City""",ULIUG1999Q,16-08-1976
LN72054,301509,24,closed,2020-03-08,12,P000092,lXCjddbC,F,"""cxrOP City""",XJDOE4799W,10-09-2005
LN47479,13183,24,closed,2022-07-10,34,P000093,WMIcqYek,F,"""eyYHG City""",QHAKD4707Z,11-06-1981
LN46065,110720,12,default,2021-12-22,70,P000094,srwbFGNB,F,"""EPqFM City""",PELNN3725U,18-06-1971
LN58058,19536,24,active,2022-04-20,20,P000095,NcIfbmGJ,F,"""AJjof City""",QACNA8417S,20-11-1970
LN48704,411624,36,closed,2022-06-23,37,P000096,EMfcCkCa,M,"""tuKuA City""",KKWWS9548M,18-05-1993
LN17995,76581,36,default,2020-12-28,54,P000097,zHaLdYbL,F,"""roUyo City""",TJSMF2226S,20-08-1991
LN24993,451973,24,default,2021-01-04,48,P000098,anlvoQZF,M,"""VuipR City""",BYVIT3157B,12-03-1994
LN38135,311514,24,default,2022-01-15,9,P000099,XYcshJlL,F,"""PGHwV City""",RPIIM5436E,12-04-1972
LN48183,490256,24,default,2024-09-24,89,P000100,GrwXhnMx,F,"""aYcsY City""",JRGYZ8587B,09-02-1978
LN19235,38593,6,active,2023-08-17,34,P000101,fnkzWEgP,F,"""qOQfY City""",YMLBY9201Q,03-08-1972
LN15874,129039,36,active,2023-12-03,74,P000102,BmjDIREz,F,"""bRJGW City""",DAAEY9126Z,03-01-2004
LN93419,176917,24,closed,2020-11-11,38,P000103,mqzqkfKs,F,"""Ydgde City""",VCXOT2064Q,20-05-1991
LN92600,176663,6,active,2021-02-12,25,P000104,VkaYRzhY,F,"""BCfoT City""",CJGUN8934R,16-07-2004
LN62123,468060,24,active,2020-12-19,62,P000105,fSZkcfSU,F,"""mSNqo City""",PMFBF3867W,12-12-1982
LN48077,412802,12,closed,2023-02-18,20,P000106,gldkWTYk,M,"""yVsBk City""",UPGTP5833Z,16-08-1979
LN14277,422004,24,closed,2022-03-09,44,P000107,CPNRKoqY,M,"""gbRWS City""",OLLIA5370U,06-11-1981
LN14036,151106,24,closed,2023-01-25,59,P000108,UCPpqOdn,M,"""qptnh City""",LRPPA3894W,24-03-1998
LN41628,76586,6,active,2021-09-26,23,P000109,ijPgejnY,M,"""UxpMx City""",VKWIQ6300B,07-10-2004
LN19793,441284,24,closed,2021-12-17,39,P000110,oMIAFqPB,F,"""bfOUy City""",PYRSR5944P,24-12-1973
LN31759,349525,24,active,2020-07-16,38,P000111,SpTSGZao,F,"""WgJqL City""",KIZXU3755S,25-09-1979
LN50428,211466,6,closed,2023-03-02,69,P000112,MTVqfTRZ,F,"""SZizs City""",BVKQK1170R,20-12-1993
LN39828,296109,12,active,2023-07-23,14,P000113,KPicMlag,F,"""bfWEM City""",FYUDU9528Z,10-08-1974
LN84017,50981,12,active,2023-04-18,61,P000114,xcWSOuEO,F,"""JBxGP City""",HKNBK5212Q,10-05-1994
LN86489,251164,36,default,2023-05-23,22,P000115,mneqCEZC,M,"""SXTHw City""",YEXZP5439W,25-08-1998
LN49885,497978,12,closed,2021-11-27,32,P000116,VuGKlPNO,F,"""URhFN City""",SDGYD6469I,23-12-1981
LN65527,109305,6,closed,2022-02-17,81,P000117,naldwwPK,M,"""ANStQ City""",VODYG9471L,07-06-1984
LN58459,100524,12,active,2023-05-23,76,P000118,xhpqUzEE,F,"""JgNVA City""",GWBIQ2275X,08-08-1976
LN38368,65032,36,default,2020-06-11,80,P000119,CKEObrcw,M,"""URAJe City""",CQQSY1833C,10-10-1972
LN86380,420204,12,active,2023-06-13,70,P000120,wmyXTbSX,F,"""iMsRi City""",WWMBT1983F,21-05-1970
LN26830,144141,36,closed,2024-09-18,68,P000121,ZzsXHKtf,M,"""eVMtm City""",CRJHM1836I,12-09-1991
LN24490,316413,12,closed,2021-09-13,3,P000122,NadofzdU,F,"""hbfjD City""",WHIJR4070G,14-06-1995
LN71029,194297,12,default,2020-02-25,37,P000123,UGJKEByg,F,"""xaMCy City""",XNLDM1396V,24-01-1976
LN91897,485446,36,default,2020-03-24,62,P000124,tleTFYlY,M,"""PUxbp City""",BQNVR8604N,01-06-1996
LN81594,401729,6,default,2020-06-13,21,P000125,nbDMkKfN,F,"""VZeMt City""",QDGQU6292N,20-09-1981
LN99069,439577,24,default,2023-06-27,54,P000126,nxmfOEGt,M,"""xnvJv City""",STPNQ4937W,22-03-1986
LN98906,136574,36,closed,2024-03-21,4,P000127,evETDYTY,M,"""iGtJg City""",VYCKF1796C,09-04-1970
LN40897,275642,24,default,2024-10-25,7,P000128,OMybueAK,F,"""mUFdn City""",AHCHU1018W,28-02-1978
LN92687,131758,6,active,2021-07-14,11,P000129,BJvyRFdE,F,"""fLbcv City""",UMKGF2858K,06-04-1977
LN10290,419942,36,default,2022-02-13,9,P000130,aNDygGIb,M,"""rOato City""",GFCYM4338O,03-08-1985
LN18600,444561,6,active,2022-05-09,52,P000131,mNoJEORD,F,"""CrfBT City""",STCUM4625S,15-06-1994
LN16702,119071,6,closed,2023-01-25,53,P000132,aEYDWDFe,F,"""SKbTR City""",GPTFD1611U,09-12-1979
LN85454,287451,24,closed,2024-05-26,56,P000133,EDefbiuL,F,"""CUxPx City""",PVGDV3652M,06-11-1985
LN56227,474181,36,active,2020-04-20,7,P000134,eIyLPtBF,F,"""Qtspg City""",RWJMS9469L,03-04-2004
LN51772,411111,36,active,2020-06-22,24,P000135,ZZOBwNqv,M,"""FAbco City""",YQLUO4509X,12-10-1995
LN88539,345933,24,default,2020-07-22,59,P000136,bsnoHOqZ,F,"""EIwgu City""",NZHZR8082K,23-08-2004
LN71793,174562,12,default,2023-09-04,83,P000137,iigLJZww,F,"""ECsba City""",VVBSZ5447A,18-04-1997
LN15932,397051,12,closed,2020-02-13,25,P000138,cKdoPiQk,F,"""pNWss City""",APFRB4320V,23-02-1976
LN57593,16091,12,closed,2024-06-06,20,P000139,uvzTEjwW,M,"""KmwkV City""",AKYCX7724S,13-08-1991
LN71625,487123,24,default,2023-11-18,4,P000140,SDAUcmey,M,"""erXca City""",GSHBA4895F,26-03-2000
LN25350,84413,12,default,2023-09-01,55,P000141,iGDPhxgI,M,"""aehKP City""",ZJFOY7502R,05-01-2004
LN24422,434758,24,closed,2021-05-24,69,P000142,BMRJbXzq,M,"""WBdPy City""",OEGEX5300I,10-08-1980
LN44236,104576,6,default,2021-04-04,56,P000143,sGiSGrvz,M,"""bhIRH City""",LBNEE6979F,28-09-2005
LN19196,19510,24,closed,2022-08-20,46,P000144,yiXrOqGP,F,"""OMaXt City""",UQLOT1138R,06-07-1974
LN58777,302284,6,closed,2022-06-07,88,P000145,AwjQaGGS,F,"""EZTKC City""",TRBSA7860X,16-05-2002
LN40630,154568,12,active,2023-09-26,18,P000146,McHNuCGc,F,"""Qipsu City""",HTLZT1114Z,10-11-1996
LN74160,15034,36,active,2021-03-03,67,P000147,NMhEmiBw,F,"""VPtDp City""",MEWDO5595T,14-11-1998
LN27575,405393,36,closed,2021-05-26,39,P000148,yZaiFpcE,F,"""CHvmB City""",PWMQL3137R,10-04-2005
LN30026,238889,6,default,2021-01-08,62,P000149,xTvSUcqY,M,"""hCVSR City""",RTIWW5043W,16-02-1970
LN47510,388275,6,closed,2023-05-14,30,P000150,WAIFlFEz,M,"""nqCLx City""",EKJCN6673G,05-09-1976
LN20439,405064,6,active,2023-07-17,70,P000151,stmRGTpE,F,"""pxNhc City""",HFHWH7926S,26-05-1989
LN47921,145357,12,active,2021-09-22,49,P000152,sfgvuLvj,F,"""PxpTM City""",OLSST7803N,25-10-1998
LN88305,100638,6,closed,2023-12-16,7,P000153,jhmRtAYn,M,"""FnzvL City""",NYOQV2383F,14-11-1993
LN55689,186815,6,default,2020-08-28,31,P000154,dWFITHUl,F,"""NTPRG City""",DFHMZ9876X,15-10-2002
LN50012,239056,12,closed,2024-05-14,1,P000155,dvQPhxJz,M,"""MBxYQ City""",HKXNB6126W,18-09-1995
LN63995,442000,24,default,2022-10-06,63,P000156,otjKxikR,M,"""SKnAc City""",TUMPF8726B,27-02-1983
LN23971,443395,6,default,2020-03-27,7,P000157,PeAgDPQP,M,"""escNU City""",TUTTX6560S,16-09-1989
LN32602,325682,6,active,2023-01-25,72,P000158,hmrbkkHF,M,"""OlOZC City""",LFSBD3653J,15-11-2004
LN72226,56381,6,active,2024-12-22,90,P000159,gyIShahV,F,"""TbDCP City""",PDWEJ6042C,28-01-1970
LN23209,212414,36,closed,2024-10-08,0,P000160,YasKYyle,M,"""OcYwt City""",KLQWM7305U,12-04-1989
LN45564,419664,12,default,2022-08-10,5,P000161,WlrHBXDd,M,"""GFCYH City""",SCTXI4539F,12-01-1983
LN58746,232516,24,default,2022-01-07,55,P000162,OFXlyEjU,M,"""oIEkj City""",SUPKU2504K,01-11-1978
LN80483,86817,36,closed,2021-12-15,84,P000163,vRydgDPt,M,"""UWTUi City""",ZEKRX5487I,12-03-1989
LN60178,259348,24,active,2023-12-10,0,P000164,FFnVHbdj,M,"""jaKPS City""",TYQJG6450E,06-06-2004
LN63614,60989,24,closed,2021-02-15,35,P000165,pbHubeSQ,F,"""RRrOa City""",RYCBA6033N,28-07-1985
LN66905,261008,6,default,2023-04-08,20,P000166,NswfDsYR,F,"""oGxAj City""",HZBBZ9611U,26-10-2003
LN12338,123675,12,active,2020-09-22,4,P000167,FVMOJeVT,M,"""HWrjH City""",NEUXZ4212F,01-08-1982
LN49982,53244,36,active,2023-03-06,85,P000168,XcvbumcY,M,"""BkFTV City""",PHPSV5256A,27-08-1981
LN43292,137743,6,default,2024-01-26,72,P000169,cOldyStp,F,"""oPjxL City""",BNOZO7756W,05-07-1974
LN43864,329725,24,default,2023-12-08,3,P000170,MBmpPnkN,F,"""Zjkhz City""",YRVBY2381N,15-03-1984
LN90840,112395,24,active,2024-06-24,2,P000171,sDydWuOc,F,"""abCcL City""",IBMBJ9617L,19-10-2005
LN43296,312321,6,default,2022-12-08,6,P000172,ydRlWIOJ,M,"""AJdgF City""",HWHDD9039Y,08-01-1970
LN82121,365041,36,closed,2020-09-25,33,P000173,RMwbFpjX,F,"""RVaWc City""",PQDQL3212J,12-07-1984
LN43152,62071,24,active,2021-02-02,4,P000174,UFVDFLRJ,M,"""ojegt City""",HPTDE5619T,28-06-1994
LN96564,411144,36,default,2020-05-01,6,P000175,reFFUHnD,M,"""aBvMW City""",TJORR3913Z,13-11-1971
LN23134,284214,36,active,2020-06-15,68,P000176,GntayCJa,F,"""wKkVf City""",AJMMU5520N,24-12-2001
LN42234,64568,12,active,2020-05-21,78,P000177,EXGxRSbk,F,"""sSbkZ City""",CLRGD4006J,13-06-1980
LN21306,360824,24,active,2023-02-22,8,P000178,gbhMbcMm,M,"""tPSKW City""",OBPQU3654Z,11-01-1971
LN92442,96659,36,closed,2021-11-18,80,P000179,BmrwFXvv,F,"""ZHapX City""",ULSEI9027A,25-07-2005
LN60020,77801,36,closed,2020-04-16,17,P000180,CkDdQrEF,M,"""zFUkB City""",UNTJK4986A,01-08-1981
LN26137,61011,36,closed,2023-02-08,78,P000181,sDQGFLuf,F,"""GSBKR City""",RNPEB5742D,21-01-1988
LN15610,45507,12,active,2021-09-19,18,P000182,zCvFnRDl,F,"""KQQLf City""",MCFGZ4196Z,22-07-1993
LN74500,129466,6,closed,2020-01-19,89,P000183,vaQGftPb,F,"""CyBli City""",DXMSL2518O,11-07-1989
LN96213,70134,24,default,2021-02-11,46,P000184,rCpUBHyn,F,"""idoWV City""",XMCMH1401I,05-08-1997
LN47903,397788,36,closed,2024-11-09,13,P000185,XVvrwMsQ,F,"""CdqRC City""",JUQIA8278O,08-02-2004
LN47648,222746,12,default,2022-03-07,56,P000186,nNUSvllR,M,"""GxpMn City""",OZGPO5269P,24-11-1990
LN88085,95857,24,active,2021-05-07,62,P000187,WhUwLdKY,M,"""RxUcS City""",KAHFT8259V,27-04-2004
LN62384,358036,12,active,2023-05-14,89,P000188,xaVEMetU,M,"""yDVuz City""",NZXOX3390T,16-08-1979
LN47827,133363,12,closed,2023-11-24,69,P000189,JigAjpMZ,F,"""xqYjp City""",GAAWZ5195Z,25-09-1982
LN69457,356866,6,closed,2023-10-11,22,P000190,SLpOkuPB,F,"""zHswy City""",YNTLG9617F,16-04-1997
LN89417,262945,24,default,2023-09-01,34,P000191,DrDUcYuI,M,"""CZBIu City""",SQVNN9748I,04-09-2003
LN92037,242230,6,closed,2024-08-02,39,P000192,zmXQYxVx,M,"""xyfVQ City""",QZNMG9150L,14-06-1989
LN91676,36978,12,closed,2021-06-19,13,P000193,WpvqTdsj,F,"""CbhbW City""",PHOEK6296J,02-09-2003
LN50268,335013,6,active,2021-12-14,57,P000194,wRQxGdsO,F,"""RLBYQ City""",KABPL3071Z,04-03-1994
LN24225,67303,6,closed,2021-11-27,32,P000195,HpRwliSX,M,"""hHPDw City""",RPTYY8574Y,06-10-1972
LN53296,311946,6,closed,2022-02-10,18,P000196,SDoDNZMV,M,"""uiSlG City""",UYRFK3315X,04-03-1999
LN72297,152606,36,closed,2020-10-01,81,P000197,bodNGwRd,M,"""KGTlv City""",SPMPU3079Q,21-12-2003
LN55196,320920,24,active,2024-07-17,40,P000198,JBPxKhEx,M,"""jLUwz City""",GWGPG9730Z,27-03-1975
LN13852,279461,36,active,2022-08-16,86,P000199,FRoWPkFD,M,"""fDxpf City""",MWUJA9120Z,24-02-1989
LN31729,325384,12,default,2021-09-18,2,P000200,GBVNfQts,M,"""fCcqm City""",OAZVW7881L,27-06-1984
LN70323,487870,36,active,2020-03-12,43,P000201,jDqTlymw,F,"""qXcXP City""",XIDWW9373N,24-10-1981
LN65328,22674,6,active,2023-10-17,68,P000202,PzeSqtVp,M,"""pARbM City""",UWHZX9469Y,06-10-1971
LN20754,258372,36,closed,2023-02-26,54,P000203,wfGcyIAh,F,"""ScTLH City""",KAHUS3058R,13-03-1984
LN79741,435311,6,active,2024-10-14,35,P000204,aJGSLzXd,M,"""yEVLX City""",EOONH3001I,22-06-1975
LN87487,496602,6,default,2021-06-08,17,P000205,aXGPpzLF,M,"""gOkzs City""",PWPTN6315L,08-01-1987
LN36153,213367,24,closed,2021-10-27,80,P000206,kFtePIPK,M,"""QeLGF City""",RVZVP6794C,07-02-1995
LN62072,264234,12,active,2022-01-21,72,P000207,SMJEwNTD,M,"""KlcPb City""",QOXEG9508D,14-04-1989
LN74367,45692,12,closed,2024-11-07,83,P000208,iUvnqrAu,F,"""TupMa City""",KHTVU2074L,20-07-1985
LN90621,300245,36,default,2021-09-01,71,P000209,kvCdTUzT,M,"""yRdER City""",VQCHT8498H,07-06-1998
LN43485,284154,36,active,2024-03-20,30,P000210,KFVgdxYa,F,"""AQdRS City""",RGOGY4948J,24-09-1976
LN23727,336278,6,closed,2020-01-26,13,P000211,AeLZnDpp,F,"""wkOCV City""",NOCYD5307C,20-08-1984
LN65860,295923,12,default,2022-12-13,29,P000212,tzKCokJP,F,"""jvTVQ City""",ZVZTS5560B,06-02-1991
LN13390,35449,6,default,2022-04-10,35,P000213,kScZOXei,M,"""GjEco City""",WXJEP4825T,01-11-1977
LN51544,196406,24,closed,2021-03-26,13,P000214,busokESP,M,"""Ketwf City""",KZMAY2006L,24-03-1984
LN58877,341039,6,default,2020-05-24,14,P000215,RgLgdHEq,M,"""mRYGq City""",HHAWP5564H,09-08-1980
LN54138,364468,24,active,2022-06-14,39,P000216,SdPWSwPF,M,"""YALOU City""",ITFAY6913F,15-08-1982
LN31172,492320,12,active,2021-04-01,1,P000217,wsHOLaPL,F,"""UrcfA City""",BSYUD5794T,25-07-1997
LN18534,371938,36,closed,2023-07-20,29,P000218,aJKjbZIJ,F,"""UyXoi City""",YYQZW8088J,07-07-1970
LN31932,227300,24,active,2021-08-24,88,P000219,XGmLnAyJ,F,"""RIhgg City""",JJKKC7744E,08-12-1999
LN48621,99408,6,closed,2021-05-16,40,P000220,tcWMqtZr,M,"""pxSvA City""",WJCWI3617T,19-05-1983
LN36104,18333,24,active,2021-03-08,65,P000221,rGUAGoXU,M,"""pDPJH City""",XEPZX1357C,28-12-1971
LN49854,404636,24,active,2022-05-28,79,P000222,pMQlfkQg,F,"""GlIsq City""",RXVKC6595X,27-09-1985
LN57864,369126,6,default,2021-01-07,83,P000223,GHWYRYyA,F,"""ICOFs City""",TXSZR1860H,26-08-1985
LN59609,12044,12,active,2024-09-18,81,P000224,YfnAePRe,M,"""MpiMr City""",KRGRH6540B,20-03-1973
LN58718,278086,6,closed,2022-01-16,50,P000225,UCDRQTwO,M,"""vKJtw City""",BTTZM1916C,19-12-1999
